video_id,skill_id,batch_id
Kjo1xuKgGIM,feature_engineering,2025-11-07-static-v1
jVJ082-WodY,feature_engineering,2025-11-07-static-v1
LUZGlS07YiY,feature_engineering,2025-11-07-static-v1
Fa_V9fP2tpU,feature_engineering,2025-11-07-static-v1
LbX4X71-TFI,model_evaluation_metrics,2025-11-07-static-v1
lt1YxJ_8Jzs,model_evaluation_metrics,2025-11-07-static-v1
PeYQIyOyKB8,model_evaluation_metrics,2025-11-07-static-v1
wpQiEHYkBys,model_evaluation_metrics,2025-11-07-static-v1
iQOgCcbfXsI,model_evaluation_metrics,2025-11-07-static-v1
iKM8zUzYULs,model_evaluation_metrics,2025-11-07-static-v1
FXokoJUhsLQ,model_evaluation_metrics,2025-11-07-static-v1
M05L1DhFqcw,model_evaluation_metrics,2025-11-07-static-v1
qWfzIYCvBqo,model_evaluation_metrics,2025-11-07-static-v1
8d3JbbSj-I8,model_evaluation_metrics,2025-11-07-static-v1
P7L5Frmdz4s,model_evaluation_metrics,2025-11-07-static-v1
pGPiRRfNsr0,model_evaluation_metrics,2025-11-07-static-v1
